,,,E16.5#14-51-2,E16.5#14-51-4,E16.5#14-51-9,E18.5 # 1,E18.5 # 2,E18.5 # 3,P0.5 A,P0.5 B,P0.5 C,P1 d,P1 h,P1 i ,P1.5 c,P1.5 d,P1.5 g,P2.5 c,P2.5 g,P2.5 j,P4 a,P4 b,P4 f,P5 a,P5 b,P5 f,P7 a,P7 b,P7 c,P10 d,P10 e,P10 f,P13.5 a,P13.5 b,P13.5 c,P15 a,P15 b,P15 c,P19 c,P19 e,P19 f,P23 d,P23 e,P23 f ,P28c,P28d,P28e
26S proteasome non-ATPase regulatory subunit 9 ,Q9CR00,25 kDa,0.00,4.61,0.00,0.00,0.00,1.52,0.00,1.25,0.00,1.00,0.00,0.00,0.99,0.00,0.94,0.00,0.00,0.00,4.11,2.30,3.35,5.67,3.09,0.82,1.90,1.65,0.00,0.89,0.00,0.00,1.95,0.00,0.00,0.00,0.90,0.00,0.91,0.94,2.78,0.00,1.50,0.00,3.90,0.00,0.00
28 kDa heat- and acid-stable phosphoprotein ,Q3UHX2,21 kDa,13.14,0.00,10.83,4.76,4.62,6.08,5.81,6.23,7.51,6.03,4.81,3.44,6.90,2.64,1.88,4.96,7.68,10.46,4.11,4.60,10.06,9.45,8.24,5.75,4.75,4.96,4.94,3.54,9.32,9.09,7.80,7.23,6.47,8.20,8.13,0.00,5.48,3.74,4.63,2.59,4.51,3.74,3.90,9.66,9.78
28S ribosomal protein S36/ mitochondrial ,Q9CQX8,11 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,1.76,0.00,0.00,0.00,0.00,1.64,0.77,1.68,0.00,0.00,0.00,0.95,0.00,1.98,0.89,0.85,0.91,0.97,3.62,0.92,2.05,0.90,0.00,0.91,0.00,0.00,0.86,0.00,0.00,1.56,0.00,1.09
39S ribosomal protein L12/ mitochondrial ,Q9DB15,22 kDa,6.57,0.00,3.61,2.38,4.62,3.04,0.00,2.49,2.50,2.01,3.61,2.29,1.97,4.39,1.88,4.96,1.10,4.19,3.28,0.00,0.00,0.00,0.00,1.64,0.00,0.00,0.00,3.54,1.70,1.82,0.00,0.00,0.92,3.08,0.00,0.00,0.00,1.87,1.85,0.86,0.00,0.00,0.00,0.00,0.00
3-ketoacyl-CoA thiolase A/ peroxisomal ,Q921H8,44 kDa,1.64,9.22,0.00,16.64,17.31,10.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.88,0.00,0.00,0.00,13.14,4.60,0.00,0.00,0.00,9.04,0.00,0.00,2.96,0.00,5.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.83,0.00,0.00,0.86,0.00,0.00,0.78,0.00,0.00
40S ribosomal protein S10 ,P63325,19 kDa,4.93,3.46,0.00,8.32,9.23,10.64,5.81,1.25,6.26,4.02,0.00,0.00,9.86,2.64,6.58,3.97,3.29,0.00,6.57,3.07,2.51,3.78,4.12,3.29,9.50,5.79,2.96,3.54,5.93,8.18,1.95,5.42,4.62,4.10,6.32,1.74,4.57,3.74,0.93,3.45,4.51,3.74,3.90,0.00,4.35
40S ribosomal protein S12 ,P63323,15 kDa,19.70,2.30,7.22,9.51,11.54,3.04,9.29,11.21,12.52,2.01,15.64,12.62,11.83,2.64,10.35,7.94,16.46,9.42,6.57,5.37,8.38,3.78,9.27,9.86,8.55,10.75,13.83,6.20,10.17,8.18,6.82,9.04,7.39,6.15,1.81,22.63,10.04,6.55,7.41,6.89,9.77,14.94,10.91,8.45,15.21
40S ribosomal protein S17 ,P63276,16 kDa,8.21,12.67,5.42,10.70,10.39,7.60,8.13,6.23,13.77,9.04,8.42,11.47,9.86,10.54,5.64,7.94,0.00,12.56,5.75,9.21,10.90,7.56,7.21,6.57,17.11,11.58,9.88,9.74,15.26,9.09,13.64,8.13,11.09,8.20,9.03,6.96,13.70,6.55,9.27,5.17,14.28,6.54,10.91,2.42,9.78
40S ribosomal protein S18 ,S4R1N6,12 kDa,11.49,9.22,19.86,14.27,13.85,16.72,5.81,4.98,3.76,2.01,0.00,2.29,10.85,7.03,4.70,4.96,0.00,7.32,7.39,6.14,5.03,3.78,7.21,4.93,6.65,8.27,2.96,2.66,8.48,5.45,2.92,4.52,6.47,3.08,9.03,3.48,4.57,6.55,3.71,1.72,1.50,2.80,0.78,0.00,2.17
40S ribosomal protein S19 ,Q9CZX8,16 kDa,11.49,13.83,12.64,8.32,9.23,13.68,1.16,13.70,21.29,5.02,10.83,13.76,17.75,7.91,2.82,3.97,10.97,6.28,6.57,4.60,5.03,3.78,14.42,8.22,17.11,15.71,14.82,0.89,8.48,5.45,11.69,4.52,5.54,7.18,0.90,8.70,10.96,3.74,5.56,0.00,6.76,12.14,7.02,16.91,20.64
40S ribosomal protein S2 ,P25444,31 kDa,0.00,5.76,0.00,0.00,4.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.97,0.88,0.94,0.00,0.00,0.00,0.82,0.00,1.68,0.00,1.03,0.00,1.90,0.83,1.98,2.66,3.39,6.36,1.95,0.00,0.92,1.03,0.00,1.74,0.00,0.00,1.85,0.00,0.00,0.00,1.56,0.00,3.26
40S ribosomal protein S21 ,Q9CQR2,9 kDa,19.70,9.22,16.25,21.40,18.47,15.20,11.62,14.95,16.28,10.04,12.03,20.65,8.88,7.03,19.75,10.92,13.17,13.60,10.67,9.21,16.76,9.45,18.53,7.39,9.50,14.06,9.88,15.93,11.87,8.18,17.54,17.17,16.63,16.41,10.84,12.18,13.70,13.11,11.12,15.51,10.52,15.88,15.59,12.08,16.30
40S ribosomal protein S3 ,P62908,27 kDa,24.63,20.74,12.64,26.15,15.01,9.12,6.97,13.70,11.27,4.02,18.05,9.18,11.83,8.78,10.35,5.96,8.78,4.19,15.60,17.65,12.57,12.28,14.42,11.50,22.81,14.88,16.79,25.67,18.65,19.09,10.72,10.85,11.09,6.15,12.64,10.44,8.22,6.55,7.41,7.76,12.78,8.41,16.37,2.42,17.38
40S ribosomal protein S3a ,P97351,30 kDa,13.14,16.13,27.08,13.08,19.62,28.88,13.94,12.45,12.52,7.03,7.22,10.32,15.78,19.33,9.40,10.92,14.27,14.65,12.32,12.28,10.90,4.72,13.39,8.22,14.26,10.75,7.90,7.97,23.73,20.00,8.77,7.23,12.01,10.26,12.64,5.22,7.30,5.62,7.41,7.76,6.01,2.80,14.81,1.21,10.86
40S ribosomal protein S4 ,V9GWY0,30 kDa,0.00,5.76,1.81,1.19,2.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.88,1.99,0.00,1.05,0.00,3.07,0.84,0.00,0.00,2.46,0.95,4.96,0.00,0.89,1.70,0.91,1.95,0.90,1.85,4.10,1.81,0.00,0.00,0.00,0.00,0.86,0.75,1.87,1.56,0.00,4.35
40S ribosomal protein S5 ,P97461,23 kDa,3.28,6.91,9.03,5.94,5.77,7.60,5.81,6.23,1.25,1.00,6.02,8.03,5.92,0.88,2.82,2.98,3.29,3.14,2.46,3.84,3.35,3.78,2.06,2.46,2.85,4.96,1.98,0.00,3.39,0.00,0.00,0.00,0.92,1.03,0.00,0.00,0.00,1.87,0.00,0.00,0.00,0.00,3.12,0.00,1.09
40S ribosomal protein S8 ,Q5M9L9,24 kDa,4.93,13.83,14.45,11.89,16.16,7.60,3.48,3.74,5.01,3.01,3.61,4.59,5.92,3.51,2.82,1.99,3.29,4.19,3.28,2.30,1.68,5.67,6.18,4.93,6.65,3.31,1.98,3.54,3.39,3.64,1.95,1.81,6.47,2.05,1.81,0.00,3.65,1.87,1.85,1.72,3.01,0.00,2.34,0.00,0.00
40S ribosomal protein S9 ,Q9CXW7,17 kDa,0.00,0.00,0.00,0.00,0.00,4.56,0.00,2.49,0.00,3.01,0.00,1.15,0.00,0.88,0.00,2.98,0.00,0.00,2.46,0.00,3.35,0.94,6.18,2.46,0.95,4.96,0.99,2.66,0.00,0.00,0.97,0.00,0.00,0.00,1.81,0.00,0.00,0.00,0.00,0.00,0.00,0.93,0.00,0.00,0.00
40S ribosomal protein SA ,P14206,33 kDa,29.55,18.43,18.06,16.64,19.62,22.80,25.55,21.17,25.04,22.10,20.45,24.09,24.65,12.30,11.29,21.84,20.85,25.11,14.78,15.35,19.28,25.51,22.65,14.79,22.81,22.33,30.62,20.36,24.58,23.63,23.39,21.69,24.95,27.69,18.06,33.07,4.57,18.72,10.19,12.07,14.28,20.55,15.59,19.32,18.47
5'-nucleotidase ,Q61503,64 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.83,1.98,4.43,3.39,1.82,6.82,10.85,8.31,11.28,11.74,3.48,10.04,13.11,10.19,7.76,11.27,14.01,14.03,8.45,7.60
60 kDa heat shock protein/ mitochondrial ,P63038,61 kDa,14.78,8.06,14.45,11.89,18.47,13.68,8.13,11.21,3.76,18.08,8.42,10.32,4.93,5.27,4.70,5.96,3.29,12.56,4.11,3.84,5.87,10.39,11.33,6.57,5.70,5.79,7.90,6.20,7.63,7.27,11.69,5.42,10.16,9.23,0.90,0.00,4.57,0.94,3.71,1.72,0.75,2.80,1.56,1.21,0.00
60S acidic ribosomal protein P0 ,P14869,34 kDa,3.28,3.46,1.81,4.76,2.31,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.19,0.00,0.00,1.68,0.00,0.00,0.00,7.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
60S acidic ribosomal protein P1 ,P47955,11 kDa,0.00,5.76,0.00,5.94,5.77,3.04,5.81,4.98,0.00,6.03,2.41,1.15,3.94,3.51,5.64,4.96,2.19,7.32,3.28,0.77,5.87,6.61,2.06,5.75,6.65,4.13,3.95,6.20,3.39,3.64,3.90,5.42,3.70,4.10,3.61,5.22,1.83,2.81,3.71,4.31,3.76,1.87,3.12,0.00,0.00
60S acidic ribosomal protein P2 ,P99027,12 kDa,9.85,5.76,0.00,10.70,6.93,0.00,9.29,7.47,6.26,7.03,2.41,4.59,5.92,7.03,8.46,9.93,4.39,12.56,4.11,6.14,8.38,10.39,5.15,5.75,3.80,6.62,4.94,8.85,9.32,9.09,5.85,7.23,7.39,10.26,9.93,0.00,5.48,6.55,6.49,6.03,0.75,0.93,0.00,0.00,0.00
60S ribosomal protein L12 ,P35979,18 kDa,8.21,2.30,0.00,10.70,9.23,3.04,6.97,9.96,10.02,5.02,4.81,2.29,3.94,8.78,8.46,7.94,4.39,8.37,4.11,3.84,2.51,6.61,7.21,1.64,9.50,9.10,0.99,7.97,9.32,2.73,6.82,6.33,4.62,5.13,4.52,0.00,3.65,0.00,5.56,1.72,2.25,0.93,6.24,0.00,3.26
60S ribosomal protein L13 ,P47963,24 kDa,0.00,2.30,5.42,4.76,6.93,1.52,3.48,1.25,0.00,0.00,3.61,3.44,2.96,1.76,0.00,2.98,3.29,4.19,0.00,0.77,0.00,1.89,3.09,0.00,3.80,5.79,1.98,7.97,3.39,3.64,2.92,2.71,7.39,4.10,5.42,0.00,1.83,0.00,2.78,1.72,1.50,0.00,3.12,0.00,2.17
60S ribosomal protein L14 ,Q9CR57,24 kDa,0.00,2.30,0.00,0.00,0.00,3.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.64,0.00,0.00,0.00,0.00,2.46,0.00,0.84,1.89,0.00,3.29,0.00,0.83,0.00,0.89,1.70,1.82,0.00,2.71,3.70,0.00,0.00,0.00,1.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
60S ribosomal protein L18 ,P35980,22 kDa,3.28,0.00,9.03,11.89,4.62,6.08,0.00,3.74,0.00,0.00,0.00,0.00,1.97,3.51,0.00,2.98,0.00,0.00,3.28,0.00,1.68,2.83,0.00,1.64,0.00,0.00,0.00,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
60S ribosomal protein L22 ,P67984,15 kDa,0.00,0.00,3.61,1.19,2.31,9.12,4.65,3.74,7.51,6.03,4.81,4.59,3.94,8.78,4.70,0.00,4.39,4.19,9.03,6.14,6.71,5.67,7.21,6.57,4.75,4.96,5.93,0.00,11.87,6.36,7.80,7.23,7.39,3.08,9.03,3.48,2.74,3.74,10.19,4.31,8.27,11.21,10.13,4.83,11.95
60S ribosomal protein L26 ,B1ARA5,17 kDa,0.00,3.46,0.00,2.38,2.31,0.00,1.16,0.00,0.00,0.00,0.00,0.00,0.00,1.76,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.79,3.95,1.77,4.24,0.00,0.97,0.00,0.00,1.03,0.00,0.00,0.91,0.00,0.00,0.00,0.00,0.00,1.56,0.00,2.17
60S ribosomal protein L3 ,P27659,46 kDa,4.93,1.15,1.81,7.13,3.46,3.04,0.00,1.25,5.01,0.00,1.20,2.29,0.99,2.64,0.00,3.97,0.00,0.00,4.93,3.84,0.84,3.78,2.06,2.46,3.80,4.13,5.93,0.00,6.78,3.64,0.00,0.00,1.85,0.00,2.71,0.00,3.65,1.87,1.85,1.72,2.25,0.00,1.56,0.00,0.00
60S ribosomal protein L34 ,Q9D1R9,13 kDa,0.00,0.00,1.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.15,0.00,0.00,4.96,2.96,0.89,0.85,1.82,4.87,3.62,0.92,5.13,0.00,1.74,0.91,0.00,0.00,0.00,0.75,0.00,1.56,0.00,2.17
60S ribosomal protein L4 ,Q9D8E6,47 kDa,0.00,3.46,1.81,2.38,3.46,0.00,0.00,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.82,0.00,0.00,0.94,4.12,1.64,0.00,0.00,1.98,1.77,0.85,0.00,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
60S ribosomal protein L5 ,P47962,34 kDa,14.78,14.98,30.70,22.59,28.86,22.80,22.07,29.89,18.78,12.05,20.45,11.47,8.88,28.99,17.87,23.82,6.58,19.88,16.42,10.74,16.76,20.79,18.53,10.68,19.01,20.67,21.73,18.59,22.04,19.09,33.13,27.12,24.95,24.61,18.06,13.92,27.39,13.11,16.68,16.37,19.54,10.27,20.27,10.87,17.38
60S ribosomal protein L6 ,P47911,34 kDa,6.57,10.37,10.83,9.51,5.77,10.64,0.00,2.49,3.76,0.00,0.00,2.29,1.97,2.64,1.88,3.97,0.00,4.19,0.00,2.30,0.84,0.00,2.06,0.00,1.90,1.65,0.00,1.77,4.24,0.00,1.95,0.90,1.85,4.10,2.71,1.74,0.00,0.00,0.00,0.00,0.75,0.00,0.00,0.00,0.00
60S ribosomal protein L7 ,P14148,31 kDa,0.00,10.37,0.00,8.32,8.08,1.52,0.00,1.25,0.00,0.00,0.00,0.00,0.00,0.88,0.00,0.00,0.00,2.09,1.64,0.77,0.00,1.89,3.09,0.00,3.80,0.83,0.00,0.00,0.85,0.91,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
60S ribosomal protein L9 ,P51410,22 kDa,0.00,2.30,0.00,4.76,1.15,1.52,0.00,0.00,2.50,0.00,0.00,1.15,0.00,0.00,0.94,0.00,0.00,0.00,0.00,4.60,0.00,0.94,0.00,4.11,3.80,4.96,1.98,2.66,4.24,3.64,1.95,2.71,2.77,0.00,2.71,0.00,0.00,0.00,1.85,0.00,3.01,0.00,2.34,0.00,0.00
72 kDa type IV collagenase ,P33434,74 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.99,0.00,0.94,0.00,0.00,0.00,0.00,1.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
78 kDa glucose-regulated protein ,P20029,72 kDa,60.75,18.43,32.50,24.97,16.16,22.80,26.71,37.36,36.31,29.13,32.48,27.53,25.64,20.21,23.51,31.76,35.12,25.11,18.88,14.58,20.12,20.79,27.80,23.00,37.07,32.25,18.77,32.75,23.73,11.82,29.23,33.44,28.64,30.77,24.38,29.59,34.70,30.89,29.65,14.65,20.29,23.35,27.28,26.57,29.33
Ablim1 protein ,B9EIV0,82 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.01,0.00,0.00,0.00,0.88,0.94,0.00,0.00,2.09,0.00,0.77,0.00,1.89,0.00,0.00,0.00,0.83,0.99,2.66,1.70,1.82,3.90,1.81,1.85,6.15,0.00,0.00,0.91,1.87,0.00,0.00,3.01,0.00,0.78,0.00,0.00
Acetyl-CoA acetyltransferase/ mitochondrial ,Q8QZT1,45 kDa,1.64,1.15,12.64,8.32,6.93,9.12,0.00,2.49,1.25,1.00,3.61,1.15,0.99,1.76,2.82,1.99,2.19,2.09,0.00,6.14,2.51,7.56,8.24,7.39,2.85,2.48,4.94,0.00,3.39,4.55,0.97,4.52,6.47,0.00,0.00,0.00,0.00,0.94,2.78,0.86,2.25,5.60,0.00,0.00,3.26
Acid ceramidase ,Q9WV54,45 kDa,0.00,4.61,0.00,19.02,16.16,16.72,34.84,27.40,28.80,17.07,26.47,25.23,19.72,15.81,19.75,21.84,26.34,24.07,12.32,13.81,14.25,17.95,19.56,17.25,12.36,15.71,14.82,10.62,17.80,20.91,12.67,19.89,17.55,19.49,18.96,10.44,25.57,22.47,13.90,17.24,23.30,15.88,17.93,21.74,26.07
Acidic leucine-rich nuclear phosphoprotein 32 family member A ,O35381,29 kDa,3.28,14.98,5.42,4.76,8.08,7.60,10.45,16.19,21.29,12.05,22.86,19.50,19.72,13.18,10.35,15.88,14.27,20.93,9.85,13.05,15.93,10.39,11.33,15.61,3.80,10.75,14.82,15.05,16.95,18.18,13.64,24.41,14.78,9.23,15.35,12.18,16.44,12.17,11.12,14.65,15.03,15.88,9.35,19.32,18.47
Acidic leucine-rich nuclear phosphoprotein 32 family member B ,Q9EST5,31 kDa,6.57,6.91,5.42,0.00,3.46,0.00,4.65,0.00,0.00,0.00,0.00,0.00,0.00,3.51,0.00,0.00,3.29,6.28,5.75,4.60,6.71,3.78,8.24,7.39,2.85,0.83,0.00,0.00,5.09,0.00,2.92,8.13,1.85,2.05,2.71,0.00,2.74,3.74,0.00,0.00,0.00,0.00,3.12,0.00,0.00
Acidic leucine-rich nuclear phosphoprotein 32 family member E ,P97822,30 kDa,1.64,4.61,0.00,0.00,1.15,0.00,0.00,0.00,0.00,2.01,0.00,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.82,3.84,5.03,1.89,0.00,2.46,3.80,2.48,1.98,3.54,1.70,1.82,0.00,0.00,5.54,0.00,0.90,0.00,0.00,0.00,2.78,0.86,0.75,1.87,0.78,2.42,2.17
Aconitate hydratase/ mitochondrial ,Q99KI0,85 kDa,16.42,18.43,10.83,11.89,10.39,16.72,4.65,3.74,0.00,1.00,0.00,1.15,3.94,5.27,1.88,8.93,4.39,3.14,6.57,7.67,0.00,11.34,9.27,13.97,10.45,3.31,14.82,6.20,6.78,3.64,6.82,5.42,7.39,9.23,6.32,0.00,16.44,13.11,8.34,8.62,4.51,5.60,4.68,7.25,6.52
Actin/ cytoplasmic 1 ,E9Q1F2,33 kDa,110.01,111.76,104.72,104.61,115.43,118.57,138.22,133.26,126.47,105.46,141.96,151.40,131.15,142.31,126.96,137.96,141.56,118.23,169.14,138.89,98.06,104.89,116.35,151.99,94.09,154.63,172.87,103.55,155.10,142.71,119.85,123.83,130.27,139.47,113.78,311.56,158.88,141.35,164.02,130.13,152.56,134.50,173.83,142.50,123.85
Actin-related protein 2/3 complex subunit 3 ,Q9JM76,21 kDa,0.00,4.61,0.00,0.00,2.31,0.00,2.32,2.49,1.25,2.01,2.41,0.00,1.97,0.00,1.88,0.99,2.19,4.19,0.00,3.07,5.87,3.78,3.09,0.82,4.75,1.65,1.98,4.43,5.09,1.82,3.90,7.23,4.62,4.10,4.52,0.00,3.65,5.62,4.63,3.45,4.51,1.87,1.56,0.00,0.00
Actin-related protein 2/3 complex subunit 5 ,Q9CPW4,16 kDa,0.00,4.61,0.00,0.00,3.46,0.00,2.32,2.49,1.25,2.01,0.00,1.15,0.99,1.76,1.88,1.99,2.19,3.14,1.64,4.60,5.03,5.67,4.12,1.64,3.80,4.13,0.99,4.43,0.00,0.91,1.95,0.00,0.92,0.00,2.71,1.74,1.83,1.87,0.93,0.00,1.50,3.74,0.00,2.42,1.09
Actin-related protein 2/3 complex subunit 5-like protein ,Q9D898,17 kDa,1.64,0.00,0.00,2.38,4.62,0.00,3.48,6.23,2.50,4.02,1.20,1.15,1.97,1.76,2.82,4.96,0.00,0.00,0.00,0.77,0.84,0.00,2.06,3.29,0.95,2.48,0.00,0.89,0.00,1.82,3.90,4.52,3.70,2.05,2.71,0.00,3.65,3.74,1.85,0.00,2.25,2.80,1.56,0.00,0.00
Activated RNA polymerase II transcriptional coactivator p15 ,P11031,14 kDa,9.85,5.76,0.00,5.94,6.93,9.12,11.62,7.47,6.26,11.05,10.83,3.44,6.90,10.54,12.23,10.92,6.58,3.14,7.39,5.37,8.38,0.94,2.06,2.46,2.85,4.13,0.00,3.54,5.09,1.82,6.82,0.90,2.77,1.03,0.90,3.48,2.74,0.00,0.93,1.72,3.01,4.67,5.46,4.83,6.52
Acylamino-acid-releasing enzyme ,Q8R146,82 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Acyl-CoA-binding protein ,P31786,10 kDa,0.00,0.00,0.00,1.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.51,1.88,0.00,0.00,0.00,0.00,0.00,1.68,0.94,0.00,0.82,0.00,3.31,0.00,0.89,1.70,1.82,0.00,1.81,1.85,0.00,1.81,0.00,0.00,3.74,1.85,0.00,0.75,0.00,1.56,0.00,1.09
Acylphosphatase-1 ,P56376,11 kDa,0.00,4.61,0.00,5.94,3.46,4.56,4.65,4.98,3.76,4.02,3.61,4.59,2.96,3.51,3.76,1.99,2.19,0.00,2.46,3.07,3.35,2.83,1.03,4.93,0.00,2.48,0.99,0.89,0.00,0.91,0.00,1.81,3.70,0.00,0.90,0.00,0.00,0.00,1.85,0.00,0.00,0.93,1.56,0.00,0.00
